ShinySmilyStory(https://youtu.be/xHSiqR5rGwo?si=E0hxYgNs0QZx3CZZ,ShinySmilyStory.json),
PrismMelody(https://youtu.be/1fX6qYFXemY?si=GRqUT3hKDVrs2AvW,PrismMelody.json),
CaptureTheMoment(https://youtu.be/CwZMBnPx4co?si=T3CY0W7vUVcbzWAq,CaptureTheMoment.json),
OurBrightParade(https://www.youtube.com/watch?v=k0usYxw3pko,OurBrightParade.json),
ColorRiseHarmony(https://www.youtube.com/watch?v=oc7xMNpxUOM,ColorRiseHarmony.json),
ビビデバ-星街すいせい(https://www.youtube.com/watch?v=8ZP5eqm4JqM,ビビデバ-星街すいせい.json),
GHOST-星街すいせい(https://youtu.be/IKKar5SS29E?si=kxb7BmVKJV5JGis4,GHOST-星街すいせい.json),
StellarStellar-星街すいせい(https://youtu.be/a51VH9BYzZA?si=B2o7y5mp1jxpgvna,StellarStellar-星街すいせい.json),
サクラカゼ-さくらみこ(https://youtu.be/X9zw0QF12Kc?si=PUh4JqZNVg7KwtCN,サクラカゼ-さくらみこ.json),
SUNAO-さくらみこ(https://youtu.be/4ZafIoQ_g7Y?si=8AeKQ7LvQmsRF-ZX,SUNAO-さくらみこ.json),
KONKONBeats-白上フブキ(https://www.youtube.com/watch?v=c2hbKnXIa_c,KONKONBeats-白上フブキ.json),
LETTER☆彡-白上フブキ(https://www.youtube.com/watch?v=I7CY960FEPo,LETTER☆彡-白上フブキ.json),
SUPERNOVA-白上フブキ(https://www.youtube.com/watch?v=0RG7iNERF4s,SUPERNOVA-白上フブキ.json),
幽霊船戦-宝鐘マリン(https://www.youtube.com/watch?v=QfGuQELt1Tk,幽霊船戦-宝鐘マリン.json),
美少女無罪♡パイレーツ-宝鐘マリン(https://youtu.be/KfZR9jVP6tw?si=iAd5dPxfED9WSLsp,美少女無罪♡パイレーツ-宝鐘マリン.json),
REFLECT-GawrGura(https://youtu.be/nCQ_zZIiGLA?si=zNjQICB14kaWFt-7,REFLECT-GawrGura.json),
失礼しますが、RIP♡-MoriCalliope(https://youtu.be/5y3xh8gs24c?si=liLouFbTsGrJOJaG,失礼しますが、RIP♡-MoriCalliope.json),
